CNTYNAMB,STATE_CD,CODE,BANKCOUNT,ASSET,STATE_BANKCOUNT,STATE_ASSET_SUM
Owen,IN,us-in-119,2,253473,81,43881295
Porter,IN,us-in-127,1,146120,81,43881295
Posey,IN,us-in-129,1,70356,81,43881295
Pulaski,IN,us-in-131,1,302955,81,43881295
Putnam,IN,us-in-133,1,191854,81,43881295
Ripley,IN,us-in-137,2,530460,81,43881295
Scott,IN,us-in-143,1,148242,81,43881295
Spencer,IN,us-in-147,1,111173,81,43881295
St. Joseph,IN,us-in-141,1,5001255,81,43881295
Tippecanoe,IN,us-in-157,1,159375,81,43881295
Vanderburgh,IN,us-in-163,2,509351,81,43881295
Vigo,IN,us-in-167,1,71915,81,43881295
Warrick,IN,us-in-173,3,345162,81,43881295
Wayne,IN,us-in-177,1,132942,81,43881295
Wells,IN,us-in-179,1,97588,81,43881295
White,IN,us-in-181,3,272283,81,43881295
Anderson,KS,us-ks-003,3,285604,223,37471045
Barber,KS,us-ks-007,1,75950,223,37471045
Barton,KS,us-ks-009,4,1434004,223,37471045
Bourbon,KS,us-ks-011,2,83987,223,37471045
Brown,KS,us-ks-013,3,378997,223,37471045
Butler,KS,us-ks-015,6,1773482,223,37471045
Chase,KS,us-ks-017,1,35376,223,37471045
Cherokee,KS,us-ks-021,3,139551,223,37471045
Clark,KS,us-ks-025,1,122955,223,37471045
Clay,KS,us-ks-027,1,136251,223,37471045
Cloud,KS,us-ks-029,2,71969,223,37471045
Coffey,KS,us-ks-031,2,313164,223,37471045
Comanche,KS,us-ks-033,2,115033,223,37471045
Cowley,KS,us-ks-035,3,564912,223,37471045
Crawford,KS,us-ks-037,1,114841,223,37471045
Decatur,KS,us-ks-039,1,348031,223,37471045
Dickinson,KS,us-ks-041,3,234733,223,37471045
Doniphan,KS,us-ks-043,3,134678,223,37471045
Douglas,KS,us-ks-045,5,886580,223,37471045
Elk,KS,us-ks-049,1,53724,223,37471045
Ellis,KS,us-ks-051,1,263497,223,37471045
Ellsworth,KS,us-ks-053,4,344369,223,37471045
Finney,KS,us-ks-055,1,446757,223,37471045
Ford,KS,us-ks-057,3,263147,223,37471045
Franklin,KS,us-ks-059,1,125972,223,37471045
Geary,KS,us-ks-061,1,34090,223,37471045
Gove,KS,us-ks-063,1,54530,223,37471045
Graham,KS,us-ks-065,1,38206,223,37471045
Grant,KS,us-ks-067,1,231958,223,37471045
Greenwood,KS,us-ks-073,1,92353,223,37471045
Hamilton,KS,us-ks-075,1,105627,223,37471045
Harper,KS,us-ks-077,1,24728,223,37471045
Harvey,KS,us-ks-079,4,303727,223,37471045
Haskell,KS,us-ks-081,1,267473,223,37471045
Jackson,KS,us-ks-085,2,358846,223,37471045
Jefferson,KS,us-ks-087,2,66248,223,37471045
Jewell,KS,us-ks-089,1,36395,223,37471045
Johnson,KS,us-ks-091,16,5514590,223,37471045
Kearny,KS,us-ks-093,1,191498,223,37471045
Kingman,KS,us-ks-095,2,455712,223,37471045
Kiowa,KS,us-ks-097,2,101677,223,37471045
Labette,KS,us-ks-099,3,736323,223,37471045
Lane,KS,us-ks-101,1,84690,223,37471045
Leavenworth,KS,us-ks-103,1,245914,223,37471045
Linn,KS,us-ks-107,3,98409,223,37471045
Logan,KS,us-ks-109,1,123268,223,37471045
Lyon,KS,us-ks-111,3,387330,223,37471045
Marion,KS,us-ks-115,3,110437,223,37471045
Marshall,KS,us-ks-117,4,1006262,223,37471045
McPherson,KS,us-ks-113,6,1075571,223,37471045
Meade,KS,us-ks-119,2,198850,223,37471045
Miami,KS,us-ks-121,2,360499,223,37471045
Mitchell,KS,us-ks-123,2,269408,223,37471045
Montgomery,KS,us-ks-125,3,296241,223,37471045
Morris,KS,us-ks-127,2,202231,223,37471045
Nemaha,KS,us-ks-131,3,252943,223,37471045
Neosho,KS,us-ks-133,2,255801,223,37471045
Ness,KS,us-ks-135,2,112586,223,37471045
Norton,KS,us-ks-137,2,462431,223,37471045
Osage,KS,us-ks-139,3,181516,223,37471045
Osborne,KS,us-ks-141,3,279908,223,37471045
Ottawa,KS,us-ks-143,1,330280,223,37471045
Pawnee,KS,us-ks-145,1,131584,223,37471045
Phillips,KS,us-ks-147,1,34504,223,37471045
Pottawatomie,KS,us-ks-149,5,603578,223,37471045
Pratt,KS,us-ks-151,1,355373,223,37471045
Rawlins,KS,us-ks-153,3,245635,223,37471045
Reno,KS,us-ks-155,1,264981,223,37471045
Republic,KS,us-ks-157,4,415373,223,37471045
Rice,KS,us-ks-159,3,260026,223,37471045
Riley,KS,us-ks-161,3,1496549,223,37471045
Rooks,KS,us-ks-163,1,62570,223,37471045
Rush,KS,us-ks-165,2,55754,223,37471045
Russell,KS,us-ks-167,1,31930,223,37471045
Saline,KS,us-ks-169,3,1100918,223,37471045
Scott,KS,us-ks-171,1,209373,223,37471045
Sedgwick,KS,us-ks-173,9,2467702,223,37471045
Seward,KS,us-ks-175,1,105049,223,37471045
Shawnee,KS,us-ks-177,9,2382304,223,37471045
Sheridan,KS,us-ks-179,1,149502,223,37471045
Sherman,KS,us-ks-181,1,94214,223,37471045
Stafford,KS,us-ks-185,2,202745,223,37471045
Stanton,KS,us-ks-187,1,75307,223,37471045
Stevens,KS,us-ks-189,1,120256,223,37471045
Sumner,KS,us-ks-191,7,574937,223,37471045
Thomas,KS,us-ks-193,1,174175,223,37471045
Trego,KS,us-ks-195,1,65074,223,37471045
Wabaunsee,KS,us-ks-197,3,219438,223,37471045
Washington,KS,us-ks-201,1,42209,223,37471045
Wilson,KS,us-ks-205,2,154425,223,37471045
Woodson,KS,us-ks-207,1,25964,223,37471045
Wyandotte,KS,us-ks-209,4,1653476,223,37471045
Adair,KY,us-ky-001,2,260146,139,46855373
Anderson,KY,us-ky-005,1,115000,139,46855373
Barren,KY,us-ky-009,2,1311893,139,46855373
Bath,KY,us-ky-011,1,61296,139,46855373
Bell,KY,us-ky-013,2,681675,139,46855373
Bourbon,KY,us-ky-017,1,851343,139,46855373
Boyd,KY,us-ky-019,1,173397,139,46855373
Boyle,KY,us-ky-021,1,70616,139,46855373
Breathitt,KY,us-ky-025,1,156252,139,46855373
Breckinridge,KY,us-ky-027,2,275009,139,46855373
Bullitt,KY,us-ky-029,2,318764,139,46855373
Butler,KY,us-ky-031,1,159964,139,46855373
Caldwell,KY,us-ky-033,2,195784,139,46855373
Campbell,KY,us-ky-037,1,244274,139,46855373
Carlisle,KY,us-ky-039,1,179312,139,46855373
Carter,KY,us-ky-043,1,175372,139,46855373
Casey,KY,us-ky-045,2,211867,139,46855373
Christian,KY,us-ky-047,3,2033459,139,46855373
Clark,KY,us-ky-049,1,55994,139,46855373
Clinton,KY,us-ky-053,1,33763,139,46855373
Crittenden,KY,us-ky-055,2,177013,139,46855373
Cumberland,KY,us-ky-057,1,69913,139,46855373
Daviess,KY,us-ky-059,2,2213250,139,46855373
Edmonson,KY,us-ky-061,1,198154,139,46855373
Fayette,KY,us-ky-067,5,4085159,139,46855373
Fleming,KY,us-ky-069,1,259564,139,46855373
Floyd,KY,us-ky-071,2,352363,139,46855373
Franklin,KY,us-ky-073,2,760533,139,46855373
Fulton,KY,us-ky-075,1,113216,139,46855373
Graves,KY,us-ky-083,2,806598,139,46855373
Grayson,KY,us-ky-085,3,292180,139,46855373
Greenup,KY,us-ky-089,1,199591,139,46855373
Hancock,KY,us-ky-091,1,263496,139,46855373
Hardin,KY,us-ky-093,4,1197833,139,46855373
Harlan,KY,us-ky-095,1,125297,139,46855373
Harrison,KY,us-ky-097,1,133061,139,46855373
Hart,KY,us-ky-099,1,28212,139,46855373
Henderson,KY,us-ky-101,1,389805,139,46855373
Henry,KY,us-ky-103,1,108970,139,46855373
Hickman,KY,us-ky-105,2,238548,139,46855373
Hopkins,KY,us-ky-107,1,203645,139,46855373
Jackson,KY,us-ky-109,1,129968,139,46855373
Jefferson,KY,us-ky-111,9,9506914,139,46855373
Jessamine,KY,us-ky-113,1,114086,139,46855373
Kenton,KY,us-ky-117,1,538996,139,46855373
Knott,KY,us-ky-119,1,178076,139,46855373
Larue,KY,us-ky-123,2,247363,139,46855373
Lawrence,KY,us-ky-127,1,31615,139,46855373
Leslie,KY,us-ky-131,1,126603,139,46855373
Lewis,KY,us-ky-135,2,437385,139,46855373
Lincoln,KY,us-ky-137,1,104164,139,46855373
Logan,KY,us-ky-141,2,180476,139,46855373
Madison,KY,us-ky-151,3,663845,139,46855373
Marion,KY,us-ky-155,1,53437,139,46855373
Marshall,KY,us-ky-157,1,766817,139,46855373
Martin,KY,us-ky-159,1,153588,139,46855373
Mason,KY,us-ky-161,2,172766,139,46855373
McCracken,KY,us-ky-145,1,546264,139,46855373
McCreary,KY,us-ky-147,1,280963,139,46855373
McLean,KY,us-ky-149,1,69909,139,46855373
Meade,KY,us-ky-163,1,187660,139,46855373
Montgomery,KY,us-ky-173,1,1180109,139,46855373
Morgan,KY,us-ky-175,2,214363,139,46855373
Muhlenberg,KY,us-ky-177,1,101259,139,46855373
Nelson,KY,us-ky-179,3,883758,139,46855373
Ohio,KY,us-ky-183,3,273853,139,46855373
Owen,KY,us-ky-187,2,168404,139,46855373
Owsley,KY,us-ky-189,1,51290,139,46855373
Perry,KY,us-ky-193,2,471399,139,46855373
Pike,KY,us-ky-195,1,3745549,139,46855373
Powell,KY,us-ky-197,1,334991,139,46855373
Pulaski,KY,us-ky-199,1,171261,139,46855373
Rockcastle,KY,us-ky-203,1,143520,139,46855373
Rowan,KY,us-ky-205,1,127758,139,46855373
Russell,KY,us-ky-207,1,174775,139,46855373
Shelby,KY,us-ky-211,1,527887,139,46855373
Simpson,KY,us-ky-213,1,404790,139,46855373
Spencer,KY,us-ky-215,1,109757,139,46855373
Taylor,KY,us-ky-217,2,391183,139,46855373
Todd,KY,us-ky-219,1,129442,139,46855373
Trigg,KY,us-ky-221,1,107037,139,46855373
Trimble,KY,us-ky-223,2,309170,139,46855373
Union,KY,us-ky-225,1,220655,139,46855373
Warren,KY,us-ky-227,2,690028,139,46855373
Washington,KY,us-ky-229,1,294296,139,46855373
Wayne,KY,us-ky-231,1,549018,139,46855373
Webster,KY,us-ky-233,2,110596,139,46855373
Whitley,KY,us-ky-235,1,144021,139,46855373
Wolfe,KY,us-ky-237,1,46581,139,46855373
Woodford,KY,us-ky-239,1,506147,139,46855373
Acadia,LA,us-la-001,3,818698,104,57854445
Avoyelles,LA,us-la-009,3,646795,104,57854445
Beauregard,LA,us-la-011,1,307240,104,57854445
Bienville,LA,us-la-013,2,407589,104,57854445
Bossier,LA,us-la-015,1,32216,104,57854445
Caddo,LA,us-la-017,1,145629,104,57854445
Calcasieu,LA,us-la-019,1,146190,104,57854445
Caldwell,LA,us-la-021,1,169919,104,57854445
Catahoula,LA,us-la-025,3,516927,104,57854445
Concordia,LA,us-la-029,2,778649,104,57854445
De Soto,LA,us-la-031,1,427625,104,57854445
East Baton Rouge,LA,us-la-033,3,2235852,104,57854445
East Feliciana,LA,us-la-037,3,356671,104,57854445
Evangeline,LA,us-la-039,3,882208,104,57854445
Franklin,LA,us-la-041,3,412126,104,57854445
Grant,LA,us-la-043,2,318346,104,57854445
Iberia,LA,us-la-045,1,322215,104,57854445
Iberville,LA,us-la-047,4,676973,104,57854445
Jackson,LA,us-la-049,4,371659,104,57854445
Jefferson,LA,us-la-051,1,355420,104,57854445
Jefferson Davis,LA,us-la-053,2,997079,104,57854445
Lafayette,LA,us-la-055,1,19151660,104,57854445
Lafourche,LA,us-la-057,3,864533,104,57854445
Lincoln,LA,us-la-061,1,3810829,104,57854445
Morehouse,LA,us-la-067,2,93515,104,57854445
Natchitoches,LA,us-la-069,2,357811,104,57854445
Orleans,LA,us-la-071,6,7939866,104,57854445
Ouachita,LA,us-la-073,2,1166306,104,57854445
Plaquemines,LA,us-la-075,1,141735,104,57854445
Pointe Coupee,LA,us-la-077,2,410898,104,57854445
Rapides,LA,us-la-079,1,1448985,104,57854445
Red River,LA,us-la-081,1,206553,104,57854445
Richland,LA,us-la-083,3,561740,104,57854445
Sabine,LA,us-la-085,1,790820,104,57854445
St. James,LA,us-la-093,1,821121,104,57854445
St. Landry,LA,us-la-097,5,958903,104,57854445
St. Martin,LA,us-la-099,3,937046,104,57854445
St. Mary,LA,us-la-101,2,583508,104,57854445
St. Tammany,LA,us-la-103,3,797364,104,57854445
Tangipahoa,LA,us-la-105,1,1506199,104,57854445
Tensas,LA,us-la-107,2,464757,104,57854445
Terrebonne,LA,us-la-109,3,1385917,104,57854445
Union,LA,us-la-111,1,172507,104,57854445
Vermilion,LA,us-la-113,6,956483,104,57854445
Vernon,LA,us-la-115,2,398019,104,57854445
Webster,LA,us-la-119,1,297857,104,57854445
West Carroll,LA,us-la-123,1,51645,104,57854445
West Feliciana,LA,us-la-125,1,109425,104,57854445
Winn,LA,us-la-127,1,142417,104,57854445
Barnstable,MA,us-ma-001,1,249500,42,349900646
Berkshire,MA,us-ma-003,1,7504005,42,349900646
Bristol,MA,us-ma-005,4,1899195,42,349900646
Dukes,MA,us-ma-007,1,629807,42,349900646
Essex,MA,us-ma-009,3,851651,42,349900646
Franklin,MA,us-ma-011,1,529505,42,349900646
Hampden,MA,us-ma-013,1,162404,42,349900646
Hampshire,MA,us-ma-015,1,1380238,42,349900646
Middlesex,MA,us-ma-017,9,12005901,42,349900646
Norfolk,MA,us-ma-021,9,7468808,42,349900646
Plymouth,MA,us-ma-023,3,7765681,42,349900646
Suffolk,MA,us-ma-025,5,306813770,42,349900646
Worcester,MA,us-ma-027,3,2640181,42,349900646
Anne Arundel,MD,us-md-003,1,401831,42,28060265
Baltimore,MD,us-md-005,6,1454352,42,28060265
Baltimore (City),MD,us-md-510,3,1111091,42,28060265
Caroline,MD,us-md-011,1,292841,42,28060265
Carroll,MD,us-md-013,2,414390,42,28060265
Cecil,MD,us-md-015,1,301829,42,28060265
Charles,MD,us-md-017,2,1346622,42,28060265
Dorchester,MD,us-md-019,1,192823,42,28060265
Frederick,MD,us-md-021,4,995731,42,28060265
Garrett,MD,us-md-023,1,1335632,42,28060265
Harford,MD,us-md-025,1,307522,42,28060265
Howard,MD,us-md-027,2,2825310,42,28060265
Kent,MD,us-md-029,2,323219,42,28060265
Montgomery,MD,us-md-031,5,11489063,42,28060265
Prince George's,MD,us-md-033,2,2052670,42,28060265
Queen Anne's,MD,us-md-035,2,926655,42,28060265
Talbot,MD,us-md-041,2,708631,42,28060265
Wicomico,MD,us-md-045,2,850407,42,28060265
Worcester,MD,us-md-047,2,729646,42,28060265
Androscoggin,ME,us-me-001,1,849030,5,3609572
Franklin,ME,us-me-007,1,341053,5,3609572
Hancock,ME,us-me-009,1,1559170,5,3609572
Lincoln,ME,us-me-015,1,179113,5,3609572
Penobscot,ME,us-me-019,1,681206,5,3609572
Alger,MI,us-mi-003,1,122495,86,42718491
Antrim,MI,us-mi-009,1,169059,86,42718491
Barry,MI,us-mi-015,1,299816,86,42718491
Benzie,MI,us-mi-019,4,404822,86,42718491
Branch,MI,us-mi-023,2,830622,86,42718491
Cass,MI,us-mi-027,1,62347,86,42718491
Charlevoix,MI,us-mi-029,1,167593,86,42718491
Chippewa,MI,us-mi-033,2,350430,86,42718491
Delta,MI,us-mi-041,4,694476,86,42718491
Emmet,MI,us-mi-047,2,675031,86,42718491
Genesee,MI,us-mi-049,1,415611,86,42718491
Gogebic,MI,us-mi-053,1,67494,86,42718491
Grand Traverse,MI,us-mi-055,1,276454,86,42718491
Gratiot,MI,us-mi-057,1,375520,86,42718491
Huron,MI,us-mi-063,4,676757,86,42718491
Ingham,MI,us-mi-065,3,487861,86,42718491
Ionia,MI,us-mi-067,1,165028,86,42718491
Iosco,MI,us-mi-069,1,186147,86,42718491
Iron,MI,us-mi-071,1,117537,86,42718491
Isabella,MI,us-mi-073,1,1533977,86,42718491
Jackson,MI,us-mi-075,2,135871,86,42718491
Kalamazoo,MI,us-mi-077,1,97098,86,42718491
Kent,MI,us-mi-081,6,6752484,86,42718491
Lake,MI,us-mi-085,1,198118,86,42718491
Lapeer,MI,us-mi-087,1,317400,86,42718491
Lenawee,MI,us-mi-091,1,94619,86,42718491
Macomb,MI,us-mi-099,1,647282,86,42718491
Mason,MI,us-mi-105,1,365515,86,42718491
Midland,MI,us-mi-111,1,7708944,86,42718491
Monroe,MI,us-mi-115,1,1291194,86,42718491
Montcalm,MI,us-mi-117,1,51147,86,42718491
Muskegon,MI,us-mi-121,1,188666,86,42718491
Oakland,MI,us-mi-125,10,8518746,86,42718491
Oceana,MI,us-mi-127,1,218269,86,42718491
Ontonagon,MI,us-mi-131,2,109351,86,42718491
Ottawa,MI,us-mi-139,3,2778827,86,42718491
Saginaw,MI,us-mi-145,3,447991,86,42718491
Sanilac,MI,us-mi-151,3,670532,86,42718491
Schoolcraft,MI,us-mi-153,2,836989,86,42718491
St. Clair,MI,us-mi-147,1,240598,86,42718491
Tuscola,MI,us-mi-157,1,91054,86,42718491
Van Buren,MI,us-mi-159,1,56587,86,42718491
Washtenaw,MI,us-mi-161,5,2559903,86,42718491
Wayne,MI,us-mi-163,2,262229,86,42718491
Aitkin,MN,us-mn-001,2,136147,257,42002474
Anoka,MN,us-mn-003,3,338028,257,42002474
Becker,MN,us-mn-005,2,382872,257,42002474
Beltrami,MN,us-mn-007,1,127736,257,42002474
Blue Earth,MN,us-mn-013,4,720617,257,42002474
Brown,MN,us-mn-015,4,769017,257,42002474
Carver,MN,us-mn-019,3,302593,257,42002474
Cass,MN,us-mn-021,1,108056,257,42002474
Chippewa,MN,us-mn-023,2,645653,257,42002474
Chisago,MN,us-mn-025,3,628336,257,42002474
Clay,MN,us-mn-027,1,104395,257,42002474
Clearwater,MN,us-mn-029,2,83374,257,42002474
Cook,MN,us-mn-031,1,82031,257,42002474
Cottonwood,MN,us-mn-033,2,590143,257,42002474
Crow Wing,MN,us-mn-035,1,568838,257,42002474
Dakota,MN,us-mn-037,8,1286721,257,42002474
Dodge,MN,us-mn-039,3,185845,257,42002474
Douglas,MN,us-mn-041,1,147560,257,42002474
Faribault,MN,us-mn-043,8,635210,257,42002474
Fillmore,MN,us-mn-045,4,258083,257,42002474
Freeborn,MN,us-mn-047,5,483915,257,42002474
Goodhue,MN,us-mn-049,6,688303,257,42002474
Grant,MN,us-mn-051,2,61064,257,42002474
Hennepin,MN,us-mn-053,25,7794930,257,42002474
Houston,MN,us-mn-055,1,91525,257,42002474
Isanti,MN,us-mn-059,3,441069,257,42002474
Itasca,MN,us-mn-061,4,949796,257,42002474
Jackson,MN,us-mn-063,2,53996,257,42002474
Kandiyohi,MN,us-mn-067,4,312684,257,42002474
Kittson,MN,us-mn-069,1,59291,257,42002474
Lac qui Parle,MN,us-mn-073,2,59193,257,42002474
Lake,MN,us-mn-075,1,112887,257,42002474
Le Sueur,MN,us-mn-079,4,362978,257,42002474
Lincoln,MN,us-mn-081,2,42475,257,42002474
Lyon,MN,us-mn-083,3,387517,257,42002474
Marshall,MN,us-mn-089,2,82320,257,42002474
Martin,MN,us-mn-091,7,630734,257,42002474
McLeod,MN,us-mn-085,3,716236,257,42002474
Meeker,MN,us-mn-093,5,275303,257,42002474
Morrison,MN,us-mn-097,4,400773,257,42002474
Mower,MN,us-mn-099,5,646442,257,42002474
Murray,MN,us-mn-101,2,111268,257,42002474
Nicollet,MN,us-mn-103,2,297391,257,42002474
Nobles,MN,us-mn-105,2,94821,257,42002474
Norman,MN,us-mn-107,2,56637,257,42002474
Olmsted,MN,us-mn-109,3,248992,257,42002474
Otter Tail,MN,us-mn-111,5,571693,257,42002474
Pennington,MN,us-mn-113,1,299795,257,42002474
Pine,MN,us-mn-115,1,334133,257,42002474
Pipestone,MN,us-mn-117,1,236538,257,42002474
Polk,MN,us-mn-119,2,207016,257,42002474
Pope,MN,us-mn-121,4,441467,257,42002474
Ramsey,MN,us-mn-123,6,1623191,257,42002474
Red Lake,MN,us-mn-125,2,108934,257,42002474
Redwood,MN,us-mn-127,4,1774456,257,42002474
Renville,MN,us-mn-129,4,233870,257,42002474
Rice,MN,us-mn-131,6,2213471,257,42002474
Rock,MN,us-mn-133,1,152975,257,42002474
Roseau,MN,us-mn-135,3,677843,257,42002474
Scott,MN,us-mn-139,3,266505,257,42002474
Sherburne,MN,us-mn-141,3,2306343,257,42002474
Sibley,MN,us-mn-143,2,84898,257,42002474
St. Louis,MN,us-mn-137,6,919675,257,42002474
Stearns,MN,us-mn-145,13,1388099,257,42002474
Steele,MN,us-mn-147,2,128019,257,42002474
Swift,MN,us-mn-151,3,164147,257,42002474
Traverse,MN,us-mn-155,2,99905,257,42002474
Wabasha,MN,us-mn-157,4,1073652,257,42002474
Wadena,MN,us-mn-159,1,117795,257,42002474
Waseca,MN,us-mn-161,3,457361,257,42002474
Washington,MN,us-mn-163,4,819295,257,42002474
Watonwan,MN,us-mn-165,1,41161,257,42002474
Wilkin,MN,us-mn-167,1,17662,257,42002474
Winona,MN,us-mn-169,2,111995,257,42002474
Wright,MN,us-mn-171,7,1223234,257,42002474
Yellow Medicine,MN,us-mn-173,2,343551,257,42002474
Adair,MO,us-mo-001,3,643582,259,106977271
Atchison,MO,us-mo-005,1,87673,259,106977271
Audrain,MO,us-mo-007,2,352469,259,106977271
Barry,MO,us-mo-009,3,518875,259,106977271
Barton,MO,us-mo-011,2,162991,259,106977271
Bates,MO,us-mo-013,4,409800,259,106977271
Benton,MO,us-mo-015,2,222660,259,106977271
Boone,MO,us-mo-019,3,2295609,259,106977271
Buchanan,MO,us-mo-021,1,88601,259,106977271
Butler,MO,us-mo-023,5,2763829,259,106977271
Caldwell,MO,us-mo-025,3,324987,259,106977271
Callaway,MO,us-mo-027,3,465694,259,106977271
Camden,MO,us-mo-029,3,697718,259,106977271
Cape Girardeau,MO,us-mo-031,2,294030,259,106977271
Carroll,MO,us-mo-033,2,238983,259,106977271
Carter,MO,us-mo-035,1,155930,259,106977271
Cass,MO,us-mo-037,5,491892,259,106977271
Cedar,MO,us-mo-039,1,106078,259,106977271
Chariton,MO,us-mo-041,4,486525,259,106977271
Christian,MO,us-mo-043,2,254775,259,106977271
Clark,MO,us-mo-045,3,282115,259,106977271
Clay,MO,us-mo-047,5,1353761,259,106977271
Clinton,MO,us-mo-049,3,353429,259,106977271
Cole,MO,us-mo-051,6,4793947,259,106977271
Cooper,MO,us-mo-053,1,108400,259,106977271
Crawford,MO,us-mo-055,1,189949,259,106977271
Dallas,MO,us-mo-059,2,354173,259,106977271
Daviess,MO,us-mo-061,1,138081,259,106977271
DeKalb,MO,us-mo-063,4,178586,259,106977271
Dent,MO,us-mo-065,3,717587,259,106977271
Dunklin,MO,us-mo-069,1,68960,259,106977271
Franklin,MO,us-mo-071,7,1899534,259,106977271
Gentry,MO,us-mo-075,1,60850,259,106977271
Greene,MO,us-mo-077,7,3490031,259,106977271
Harrison,MO,us-mo-081,1,373837,259,106977271
Henry,MO,us-mo-083,1,45579,259,106977271
Holt,MO,us-mo-087,1,59102,259,106977271
Howard,MO,us-mo-089,3,342846,259,106977271
Howell,MO,us-mo-091,2,496633,259,106977271
Jackson,MO,us-mo-095,12,28277155,259,106977271
Jasper,MO,us-mo-097,1,645141,259,106977271
Jefferson,MO,us-mo-099,4,1501236,259,106977271
Johnson,MO,us-mo-101,2,378799,259,106977271
Knox,MO,us-mo-103,1,68295,259,106977271
Laclede,MO,us-mo-105,2,358289,259,106977271
Lafayette,MO,us-mo-107,5,517386,259,106977271
Lawrence,MO,us-mo-109,1,98946,259,106977271
Lewis,MO,us-mo-111,3,297807,259,106977271
Lincoln,MO,us-mo-113,3,823798,259,106977271
Linn,MO,us-mo-115,1,165097,259,106977271
Livingston,MO,us-mo-117,3,1099931,259,106977271
Macon,MO,us-mo-121,2,313134,259,106977271
Madison,MO,us-mo-123,1,324017,259,106977271
Maries,MO,us-mo-125,1,445971,259,106977271
Marion,MO,us-mo-127,1,175668,259,106977271
McDonald,MO,us-mo-119,1,136226,259,106977271
Miller,MO,us-mo-131,3,306299,259,106977271
Mississippi,MO,us-mo-133,2,835712,259,106977271
Moniteau,MO,us-mo-135,1,57936,259,106977271
Monroe,MO,us-mo-137,1,146977,259,106977271
Montgomery,MO,us-mo-139,3,450527,259,106977271
Morgan,MO,us-mo-141,1,231192,259,106977271
New Madrid,MO,us-mo-143,2,307448,259,106977271
Newton,MO,us-mo-145,2,449038,259,106977271
Nodaway,MO,us-mo-147,1,826189,259,106977271
Oregon,MO,us-mo-149,1,63879,259,106977271
Osage,MO,us-mo-151,3,747938,259,106977271
Ozark,MO,us-mo-153,1,172897,259,106977271
Pemiscot,MO,us-mo-155,2,438052,259,106977271
Perry,MO,us-mo-157,2,1182973,259,106977271
Pettis,MO,us-mo-159,3,509750,259,106977271
Phelps,MO,us-mo-161,2,501189,259,106977271
Pike,MO,us-mo-163,4,409551,259,106977271
Platte,MO,us-mo-165,3,701943,259,106977271
Polk,MO,us-mo-167,1,229640,259,106977271
Pulaski,MO,us-mo-169,3,366731,259,106977271
Putnam,MO,us-mo-171,2,499691,259,106977271
Ralls,MO,us-mo-173,1,60346,259,106977271
Randolph,MO,us-mo-175,2,246225,259,106977271
Ray,MO,us-mo-177,4,242545,259,106977271
Saline,MO,us-mo-195,2,729859,259,106977271
Scotland,MO,us-mo-199,1,44545,259,106977271
Shannon,MO,us-mo-203,1,47098,259,106977271
Shelby,MO,us-mo-205,2,76910,259,106977271
St. Charles,MO,us-mo-183,3,508054,259,106977271
St. Claire,MO,us-mo-185,1,129581,259,106977271
St. Francois,MO,us-mo-187,1,1762655,259,106977271
St. Louis,MO,us-mo-189,20,18412868,259,106977271
St. Louis (City),MO,us-mo-510,2,5241902,259,106977271
Ste. Genevieve,MO,us-mo-186,2,366322,259,106977271
Stoddard,MO,us-mo-207,2,605819,259,106977271
Stone,MO,us-mo-209,2,4177861,259,106977271
Sullivan,MO,us-mo-211,1,41283,259,106977271
Taney,MO,us-mo-213,3,586464,259,106977271
Texas,MO,us-mo-215,2,103096,259,106977271
Vernon,MO,us-mo-217,3,272944,259,106977271
Warren,MO,us-mo-219,2,228160,259,106977271
Washington,MO,us-mo-221,2,478188,259,106977271
Wayne,MO,us-mo-223,2,453269,259,106977271
Webster,MO,us-mo-225,4,427386,259,106977271
Wright,MO,us-mo-229,2,301342,259,106977271
Adams,MS,us-ms-001,1,354161,69,63668561
Alcorn,MS,us-ms-003,1,96234,69,63668561
Bolivar,MS,us-ms-011,2,231920,69,63668561
Carroll,MS,us-ms-015,1,66412,69,63668561
Chickasaw,MS,us-ms-017,1,156379,69,63668561
Claiborne,MS,us-ms-021,1,298689,69,63668561
Coahoma,MS,us-ms-027,1,223446,69,63668561
Copiah,MS,us-ms-029,1,980285,69,63668561
Covington,MS,us-ms-031,1,67108,69,63668561
Franklin,MS,us-ms-037,1,134900,69,63668561
George,MS,us-ms-039,1,258537,69,63668561
Harrison,MS,us-ms-047,4,22970803,69,63668561
Hinds,MS,us-ms-049,2,462466,69,63668561
Holmes,MS,us-ms-051,1,111475,69,63668561
Humphreys,MS,us-ms-053,2,3197264,69,63668561
Jackson,MS,us-ms-059,1,576314,69,63668561
Jasper,MS,us-ms-061,2,353636,69,63668561
Jefferson,MS,us-ms-063,1,117336,69,63668561
Jones,MS,us-ms-067,1,674257,69,63668561
Kemper,MS,us-ms-069,1,126249,69,63668561
Lafayette,MS,us-ms-071,2,376897,69,63668561
Lauderdale,MS,us-ms-075,1,277464,69,63668561
Leake,MS,us-ms-079,1,56149,69,63668561
Lee,MS,us-ms-081,2,19506981,69,63668561
Leflore,MS,us-ms-083,2,1321238,69,63668561
Lincoln,MS,us-ms-085,1,147102,69,63668561
Marion,MS,us-ms-091,2,585322,69,63668561
Marshall,MS,us-ms-093,4,493286,69,63668561
