"IDRSSD","CERT","CB","CHARTER_TYPE","SDI_BK_CLASS_DESC","SDI_REGAGNT_DESC","INST_NAME","INST_STATE","OCC_ID","OTS_ID","TOTAL_BNK_EQUITY_CAPITAL","TOTAL_ASSETS","TOTAL_ASSETS_RCON2170","OTHR_INTANGIBLES","GOODWILL","NET_DEF_TAX_ASST","TIER1LEVERAGE","STATE_DESC","ADJ_TOTAL_BNK_EQ_CAP","ADJ_TOTAL_ASSETS","SIMPLE_LEVERAGE_RATIO"
233031,12368,0,"State-Chartered","SM","FED","REGIONS BANK","AL",0,9709,16128018,123468752,250242526,474422,4242336,189115,0.1028,"Alabama",11222145,118562879,0.0946514212091627768249453524150674512551
697633,19048,0,"State-Chartered","SM","FED","COMPASS BANK","AL",0,10256,12072904,85247650,170853690,76117,5043197,264022,0.0889,"Alabama",6689568,79864314,0.0837616660677759030147056669140111815147
4262534,4999,0,"National Charter","N","OCC","CADENCE BANK, N.A.","AL",3656,0,1291053,8442453,8790472,20366,307083,67481,0.1186,"Alabama",896123,8047523,0.1113538911289846577636373328787006883982
3348888,57993,0,"State-Chartered","NM","FDIC","SERVISFIRST BANK","AL",0,0,456407,5064663,5095134,1714,13616,23741,0.0871,"Alabama",417336,5025592,0.0830421570234909638506269510139302991568
3275939,57764,0,"National Charter","N","OCC","NATIONAL BANK OF COMMERCE","AL",24497,0,199627,1618224,1761248,2788,50686,12923,0.0905,"Alabama",133230,1551827,0.0858536421907854419339269132448397920645
594433,15310,1,"State-Chartered","NM","FDIC","CB&S BANK, INC.","AL",0,11862,178408,1482221,1515162,877,10401,14180,0.1039,"Alabama",152950,1456763,0.1049930565232642509454180261305373626321
3356191,57997,1,"State-Chartered","NM","FDIC","BRYANT BANK","AL",0,0,127331,1409092,1442418,0,0,286,0.0905,"Alabama",127045,1408806,0.0901792013946561840310163358191262672078
539032,16604,1,"State-Chartered","SM","FED","BANK INDEPENDENT","AL",0,9993,128150,1216001,1229510,181,23764,6095,0.0955,"Alabama",98110,1185961,0.0827261604723932743150913057006090419499
4262543,59060,1,"State-Chartered","NM","FDIC","ALOSTAR BANK OF COMMERCE","AL",0,0,181539,919160,893168,141,0,839,0.1976,"Alabama",180559,918180,0.1966488052451589013047550589209087542748
134437,5598,1,"State-Chartered","NM","FDIC","TROY BANK & TRUST COMPANY","AL",0,9810,86252,843142,849307,0,2892,4091,0.0918,"Alabama",79269,836159,0.0948013475905898280111796919007030959423
749635,35,1,"State-Chartered","SM","FED","AUBURNBANK","AL",0,9177,85529,813722,818004,2316,0,814,0.1019,"Alabama",82399,810592,0.1016528660534522916584422249417709525877
3437157,58255,1,"State-Chartered","NM","FDIC","RIVER BANK & TRUST","AL",0,0,82277,462267,717326,2763,9408,2001,0.1576,"Alabama",68105,448095,0.1519878597172474586862160925696559881275
1394621,27510,1,"State-Chartered","NM","FDIC","METRO BANK","AL",0,17438,89643,670767,684074,0,0,3525,0.1336,"Alabama",86118,667242,0.1290656163730700405550010341075651712572
60330,22537,1,"State-Chartered","NM","FDIC","PEOPLES BANK OF ALABAMA","AL",0,13233,64166,633186,651466,0,4717,149,0.098,"Alabama",59300,628320,0.0943786605551311433664374840845429080723
3690596,58719,1,"State-Chartered","NM","FDIC","PROGRESS BANK AND TRUST","AL",0,0,62998,633640,635254,0,0,2329,0.0992,"Alabama",60669,631311,0.0961000204336689840664902084709437979063
259330,17077,1,"State-Chartered","NM","FDIC","FIRST US BANK","AL",0,10112,76512,556352,575534,0,0,7564,0.1302,"Alabama",68948,548788,0.1256368579487889676887978600115162867993
501132,16175,1,"State-Chartered","NM","FDIC","WEST ALABAMA BANK & TRUST","AL",0,10132,73530,561586,564519,271,7026,2340,0.1207,"Alabama",63893,551949,0.115758883520035365586313228214925654363
1222519,27381,1,"State-Chartered","NM","FDIC","FIRST METRO BANK","AL",0,12211,61156,551468,562288,0,0,584,0.1122,"Alabama",60572,550884,0.1099541827317547795906216190704395117665
3629420,58558,1,"State-Chartered","NM","FDIC","SOUTHERN STATES BANK","AL",0,0,57555,519542,530600,717,6041,655,0.0997,"Alabama",50142,512129,0.0979089252903077154388835625399069375099
994435,58,1,"State-Chartered","NM","FDIC","UNITED BANK","AL",0,13590,52054,541580,529814,0,0,4133,0.0943,"Alabama",47921,537447,0.0891641408362126870184408881247825366966
450034,22769,1,"State-Chartered","NM","FDIC","CAPSTONE BANK","AL",0,15607,53119,450884,452047,729,5193,118,0.1066,"Alabama",47079,444844,0.1058326064867683952127037793024071359847
655839,16595,1,"State-Chartered","NM","FDIC","CCB COMMUNITY BANK","AL",0,11147,47722,447939,446459,0,0,341,0.1049,"Alabama",47381,447598,0.1058561477039665056590958851469398880245
257233,2832,1,"State-Chartered","NM","FDIC","FIRST BANK OF ALABAMA","AL",0,14230,58965,402907,417917,0,0,615,0.1403,"Alabama",58350,402292,0.145043898461813806886540125083272846589
929932,2777,1,"State-Chartered","NM","FDIC","MIDSOUTH BANK","AL",0,15144,42416,398786,408921,0,0,376,0.1061,"Alabama",42040,398410,0.1055194397730980648076102507467182048643
3720608,58783,1,"State-Chartered","NM","FDIC","OAKWORTH CAPITAL BANK","AL",0,0,53649,389138,400141,0,788,1857,0.1335,"Alabama",51004,386493,0.1319661675631900189654146388162269433082
3174920,57483,1,"State-Chartered","NM","FDIC","CITIZENS BANK & TRUST","AL",0,0,36394,369687,380351,0,0,1073,0.0968,"Alabama",35321,368614,0.095821102833858724844959768212818829453
246134,2829,1,"State-Chartered","NM","FDIC","FIRST SOUTHERN STATE BANK","AL",0,12485,35822,365306,373236,379,0,0,0.0962,"Alabama",35443,364927,0.0971235342959002759456000789198935677546
441434,2824,1,"State-Chartered","NM","FDIC","FNB BANK","AL",0,14401,46769,366473,366871,0,0,474,0.1253,"Alabama",46295,365999,0.1264894166377503763671485441217052505608
390336,47,1,"State-Chartered","NM","FDIC","TRADERS & FARMERS BANK","AL",0,16141,54328,363449,365670,0,0,1001,0.1517,"Alabama",53327,362448,0.1471300710722641592725025382951485454465
498531,26799,1,"State-Chartered","NM","FDIC","EVABANK","AL",0,15503,61420,341546,350396,0,0,735,0.1691,"Alabama",60685,340811,0.1780605672938960303511330326779358647461
186838,14720,1,"State-Chartered","NM","FDIC","FIRST COMMUNITY BANK","AL",0,13794,35828,341077,343161,0,0,198,0.1039,"Alabama",35630,340879,0.1045238926422572232375711029426864077869
3034257,57124,1,"State-Chartered","NM","FDIC","FIRST COMMUNITY BANK OF CENTRAL ALABAMA","AL",0,0,27058,330945,335661,0,0,232,0.0837,"Alabama",26826,330713,0.0811156501256376374681370251547414223209
3217331,57540,1,"State-Chartered","NM","FDIC","HOMETOWN BANK OF ALABAMA, THE","AL",0,0,42832,324358,329137,0,0,147,0.1355,"Alabama",42685,324211,0.1316580868631847778144479983714309508314
3194692,57554,1,"State-Chartered","NM","FDIC","TRADITIONS BANK","AL",0,0,29563,300218,299077,0,0,823,0.0976,"Alabama",28740,299395,0.0959935870672522921224469346515472870288
330239,22271,1,"National Charter","N","OCC","FIRST NATIONAL BANK","AL",16579,12700,44652,276446,283665,1,0,0,0.1573,"Alabama",44651,276445,0.1615185660800520899274720107073739803578
672537,54,1,"State-Chartered","NM","FDIC","EXCHANGE BANK OF ALABAMA, THE","AL",0,9285,32568,266989,269970,0,0,67,0.1225,"Alabama",32501,266922,0.1217621627291868036355189905665325450881
430036,39,1,"State-Chartered","NM","FDIC","ROBERTSON BANKING COMPANY","AL",0,14095,28362,267511,263376,0,0,80,0.1047,"Alabama",28282,267431,0.1057543815040141195298974314870003851461
113937,46,1,"State-Chartered","NM","FDIC","MERCHANTS BANK OF ALABAMA","AL",0,0,24500,257350,255749,0,0,1482,0.0953,"Alabama",23018,255868,0.0899604483561836571982428439664201854081
449832,14184,1,"State-Chartered","NM","FDIC","MARION BANK AND TRUST COMPANY","AL",0,16459,30358,249108,248004,0,0,91,0.1185,"Alabama",30267,249017,0.121545918551745463161149640385997743126
739430,19468,1,"State-Chartered","NM","FDIC","FNB OF CENTRAL ALABAMA","AL",0,13831,26923,238413,246466,0,0,297,0.1128,"Alabama",26626,238116,0.1118194493440172017000117589746174133616
934673,30167,1,"National Charter","SA","OCC","CULLMAN SAVINGS BANK","AL",704877,4877,38740,240247,242846,0,0,1120,0.1605,"Alabama",37620,239127,0.1573222597197305197656475429374349195198
3642308,58703,1,"State-Chartered","NM","FDIC","FIRST PARTNERS BANK","AL",0,0,28477,235984,242234,0,0,855,0.1192,"Alabama",27622,235129,0.1174759387400108025807110139540422491483
467733,5602,1,"State-Chartered","NM","FDIC","UNION STATE BANK","AL",0,0,13144,227788,233599,499,0,405,0.063,"Alabama",12240,226884,0.0539482731263553181361400539482731263553
248633,23376,1,"State-Chartered","NM","FDIC","FIRST JACKSON BANK","AL",0,13698,23938,232194,233373,0,0,925,0.1008,"Alabama",23013,231269,0.0995074999243305414906450929437148947762
541231,23152,1,"State-Chartered","NM","FDIC","FIRST CITIZENS BANK","AL",0,14558,28290,227771,228369,956,0,1075,0.1187,"Alabama",26259,225740,0.1163240896606715690617524585806680251617
3386536,58088,1,"State-Chartered","NM","FDIC","SOUTHPOINT BANK","AL",0,0,22156,226806,227770,0,0,666,0.0959,"Alabama",21490,226140,0.095029627664278765366587069956664013443
386731,861,1,"State-Chartered","NM","FDIC","STATE BANK & TRUST","AL",0,14010,26353,225516,224015,0,32,95,0.119,"Alabama",26226,225389,0.1163588285142575724636073632697247869239
288376,29548,1,"State-Chartered","NM","FDIC","PINNACLE BANK","AL",0,3645,27480,226313,219494,0,306,115,0.1167,"Alabama",27059,225892,0.1197873319993625272253997485524055743453
3531176,58357,1,"State-Chartered","NM","FDIC","SOUTHERN INDEPENDENT BANK","AL",0,0,21807,224002,218707,0,0,729,0.0986,"Alabama",21078,223273,0.0944046078119611417412763746624087999893
2804864,35112,1,"State-Chartered","NM","FDIC","SMALL TOWN BANK","AL",0,16403,36318,214418,214303,0,2612,301,0.1565,"Alabama",33405,211505,0.1579395286163447672631852674877662466608
353238,72,1,"State-Chartered","SM","FED","CENTRAL STATE BANK","AL",0,9282,26637,215008,213166,0,0,303,0.1236,"Alabama",26334,214705,0.1226520108986749260613399781094990801332
293437,52,1,"State-Chartered","NM","FDIC","CITIZENS BANK OF WINFIELD, THE","AL",0,12748,48234,210608,212867,0,0,0,0.2144,"Alabama",48234,210608,0.229022639215984198131125123452100584973
540739,20468,1,"State-Chartered","NM","FDIC","FIRSTSTATE BANK","AL",0,12638,24946,209489,209856,0,0,179,0.1154,"Alabama",24767,209310,0.118326883569824661984616119631169079356
66275,29332,1,"State-Chartered","NM","FDIC","FIRST SOUTHERN BANK","AL",0,3294,19045,208098,207878,0,0,993,0.0915,"Alabama",18052,207105,0.0871635160908717800149682528186185751189
147633,18637,1,"State-Chartered","NM","FDIC","MERCHANTS BANK","AL",0,11078,22383,204676,205007,0,0,124,0.1106,"Alabama",22259,204552,0.1088182955923188235754233642301224138605
209830,17892,1,"State-Chartered","NM","FDIC","PRIMESOUTH BANK","AL",0,15235,20493,202700,200849,0,0,1182,0.1008,"Alabama",19311,201518,0.0958276679998809039391022141942655246678
1188987,27233,1,"State-Chartered","NM","FDIC","PEOPLES INDEPENDENT BANK","AL",0,0,20046,198220,200779,0,0,0,0.0925,"Alabama",20046,198220,0.1011300575118555140752699021289476339421
533535,2784,1,"State-Chartered","NM","FDIC","FIRST BANK OF BOAZ","AL",0,16462,36275,200648,200406,0,0,0,0.168,"Alabama",36275,200648,0.1807892428531557752880666640086120968063
434539,1735,1,"State-Chartered","NM","FDIC","FARMERS & MERCHANTS BANK","AL",0,16123,26664,192338,197631,0,0,910,0.1375,"Alabama",25754,191428,0.1345362224961865557807635246672378126502
3385744,58111,1,"State-Chartered","SM","FED","NOBLEBANK & TRUST","AL",0,0,18938,198571,197394,0,0,405,0.0948,"Alabama",18533,198166,0.0935226022627494121090398958448977120192
2915126,35514,1,"State-Chartered","NM","FDIC","CHEAHA BANK","AL",0,17474,23556,195100,194722,0,0,240,0.1181,"Alabama",23316,194860,0.119655137021451298368059119367751205994
438434,5600,1,"State-Chartered","NM","FDIC","CITIZENS BANK OF FAYETTE, THE","AL",0,0,36433,192937,193699,0,0,253,0.1861,"Alabama",36180,192684,0.1877685744535093728591891386934047455938
432432,41,1,"State-Chartered","NM","FDIC","PHENIX-GIRARD BANK","AL",0,14012,26030,179654,187080,0,0,0,0.1494,"Alabama",26030,179654,0.1448896211606755207231678671223574203747
194936,77,1,"State-Chartered","NM","FDIC","BANKSOUTH","AL",0,10489,34481,171239,170645,0,0,0,0.2014,"Alabama",34481,171239,0.2013618393006266095924409743107586472708
2753588,34866,1,"State-Chartered","NM","FDIC","RELIANCE BANK","AL",0,16653,20003,166140,167875,0,0,532,0.1183,"Alabama",19471,165608,0.1175728225689580213516255253369402444326
292234,19440,1,"State-Chartered","NM","FDIC","FIRST FINANCIAL BANK","AL",0,0,15854,165130,165531,0,0,785,0.0949,"Alabama",15069,164345,0.0916912592412303386169338890748121330129
601733,850,1,"State-Chartered","SM","FED","PEOPLES SOUTHERN BANK","AL",0,0,22743,165313,165460,0,0,0,0.1352,"Alabama",22743,165313,0.1375753872956149849074180493972040916322
1160509,27118,1,"State-Chartered","NM","FDIC","PREMIER BANK OF THE SOUTH","AL",0,14997,15103,156017,159213,0,0,92,0.0965,"Alabama",15011,155925,0.0962706429373096039762706429373096039763
477639,18600,1,"State-Chartered","NM","FDIC","SUNSOUTH BANK","AL",0,14084,8328,154454,150749,0,0,22,0.0542,"Alabama",8306,154432,0.053784189805221715706589307915457936179
446130,13887,1,"State-Chartered","NM","FDIC","FARMERS AND MERCHANTS BANK","AL",0,9676,19651,137730,145728,0,0,0,0.1376,"Alabama",19651,137730,0.142677702751760691207434836273869164307
470032,50,1,"State-Chartered","NM","FDIC","COMMUNITY SPIRIT BANK","AL",0,13450,14692,142373,145553,0,0,681,0.1018,"Alabama",14011,141692,0.098883493775230782260113485588459475482
382537,51,1,"State-Chartered","NM","FDIC","BANK OF VERNON, THE","AL",0,14338,22852,144272,144020,0,0,341,0.1581,"Alabama",22511,143931,0.1564013311934190688593840103938692845878
139133,2838,1,"State-Chartered","NM","FDIC","AMERIFIRST BANK","AL",0,13531,15446,141836,143361,0,0,268,0.1066,"Alabama",15178,141568,0.1072134945750452079566003616636528028933
670430,2779,1,"National Charter","N","OCC","FIRST NATIONAL BANK AND TRUST","AL",10697,17632,16035,128407,129081,0,0,134,0.1279,"Alabama",15901,128273,0.1239621744248594793916100816227888955587
449430,16910,1,"State-Chartered","NM","FDIC","FIRST EXCHANGE BANK OF ALABAMA","AL",0,0,13691,129396,126716,0,0,7,0.1066,"Alabama",13684,129389,0.1057586038998678403882864849407600336968
358233,5608,1,"State-Chartered","NM","FDIC","BANK OF WEDOWEE","AL",0,14631,13889,123147,125825,0,0,2790,0.1049,"Alabama",11099,120357,0.0922173201392523908040246932043836253812
244037,2828,1,"State-Chartered","NM","FDIC","FRIEND BANK","AL",0,10482,11491,123708,124918,326,0,0,0.0911,"Alabama",11165,123382,0.0904913196414387836151140360830591172132
595337,26021,1,"State-Chartered","NM","FDIC","VALLEY STATE BANK","AL",0,15710,19483,123167,123566,0,0,279,0.156,"Alabama",19204,122888,0.1562723781003840895775014647483887767723
3424483,58206,1,"State-Chartered","NM","FDIC","TRINITY BANK","AL",0,0,11842,124180,123119,0,0,618,0.0954,"Alabama",11224,123562,0.090836988718214337741376798692154545896
112332,2804,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF HARTFORD","AL",7592,15155,16214,116912,119928,52,0,50,0.1349,"Alabama",16112,116810,0.1379333961133464600633507405187911993836
386432,20429,1,"State-Chartered","NM","FDIC","LIBERTY BANK","AL",0,0,15138,112463,114384,0,0,0,0.1309,"Alabama",15138,112463,0.1346042698487502556396325902741346042698
374130,16369,1,"State-Chartered","NM","FDIC","CITIZENS BANK, THE","AL",0,11094,12444,117337,114039,0,0,1370,0.1012,"Alabama",11074,115967,0.0954926832633421576827890693041986082248
626370,32649,1,"National Charter","SA","OCC","AMERICAN BANK OF HUNTSVILLE","AL",708569,8569,9177,117751,112588,408,0,0,0.0774,"Alabama",8769,117343,0.0747296387513528714963824003136105264055
3488869,58375,1,"State-Chartered","NM","FDIC","VANTAGE BANK OF ALABAMA","AL",0,0,14422,113339,112017,717,544,0,0.1165,"Alabama",13161,112078,0.1174271489498385053266475133389246774568
814074,31127,1,"National Charter","SA","OCC","FIRST FEDERAL BANK, A FSB","AL",706432,6432,15146,108258,109781,1142,6,0,0.1399,"Alabama",13998,107110,0.1306880776771543273270469610680608720007
117038,2805,1,"State-Chartered","NM","FDIC","HNB FIRST BANK","AL",0,11114,12806,109141,109168,0,0,210,0.1173,"Alabama",12596,108931,0.115632831792602656727653285107086137096
466932,2787,1,"State-Chartered","NM","FDIC","COMMUNITY NEIGHBOR BANK","AL",0,12388,14924,106842,107426,0,0,245,0.1397,"Alabama",14679,106597,0.1377055639464525268065705413848419749149
359838,862,1,"State-Chartered","NM","FDIC","BANK OF YORK","AL",0,16282,10395,103803,104840,0,0,0,0.0939,"Alabama",10395,103803,0.1001416144042079708678939915031357475217
180537,22621,1,"National Charter","N","OCC","TOWN-COUNTRY NATIONAL BANK","AL",16708,16597,16018,101271,102473,0,0,180,0.1584,"Alabama",15838,101091,0.1566707224184150913533351139072716661226
563336,23523,1,"State-Chartered","NM","FDIC","CITIZENS' BANK, INC.","AL",0,13156,11181,101922,101244,0,0,38,0.1089,"Alabama",11143,101884,0.1093694790153507910957559577558792352087
117775,29731,1,"State-Chartered","NM","FDIC","SOUTHERN BANK COMPANY, THE","AL",0,3971,13420,97760,100335,0,0,636,0.1312,"Alabama",12784,97124,0.1316255508422223137432560438202709937811
571135,22358,1,"State-Chartered","NM","FDIC","CITIZENS BANK, THE","AL",0,14223,12524,99521,99068,0,0,0,0.121,"Alabama",12524,99521,0.1258427869494880477487163513228363862903
504535,23815,1,"State-Chartered","NM","FDIC","FIRST STATE BANK OF DEKALB COUNTY, INC.","AL",0,0,15403,94529,98715,0,0,155,0.1629,"Alabama",15248,94374,0.1615699239197236527009557717167864030347
3633016,58636,1,"State-Chartered","NM","FDIC","FIRST CAHAWBA BANK","AL",0,0,12622,96949,97401,0,0,404,0.1307,"Alabama",12218,96545,0.1265523848982339841524677611476513542907
250430,21050,1,"State-Chartered","NM","FDIC","FIRST STATE BANK OF THE SOUTH, INC.","AL",0,0,15631,97715,97069,0,0,597,0.1544,"Alabama",15034,97118,0.154801375646121213369303321732325624498
253730,9615,1,"State-Chartered","NM","FDIC","SWEET WATER STATE BANK","AL",0,15506,9886,94173,96029,0,0,0,0.1052,"Alabama",9886,94173,0.1049770103957609930659530863410956431249
384335,20972,1,"State-Chartered","NM","FDIC","HORIZON BANK","AL",0,0,14719,91950,93107,0,0,1218,0.1608,"Alabama",13501,90732,0.1488008640832341401049243927170127408191
1402384,27560,1,"State-Chartered","NM","FDIC","NORTH ALABAMA BANK","AL",0,0,10963,94326,93032,0,0,2329,0.0961,"Alabama",8634,91997,0.0938508864419491939954563735773992630194
320034,1730,1,"State-Chartered","NM","FDIC","PEOPLES BANK OF GREENSBORO","AL",0,17744,8248,92194,93031,0,0,0,0.0877,"Alabama",8248,92194,0.089463522571967807015640931080113673341
420877,31479,1,"State-Chartered","NM","FDIC","FIRST FIDELITY BANK","AL",0,0,8151,90814,91984,69,0,123,0.0899,"Alabama",7959,90622,0.0878263556310829599876409701838405685154
465337,2786,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF BRUNDIDGE, THE","AL",7429,15321,13030,92149,91885,0,0,1330,0.1361,"Alabama",11700,90819,0.1288276682192052323852938261817461103954
522034,17975,1,"State-Chartered","NM","FDIC","COMMERCIAL BANK OF OZARK, THE","AL",0,17176,7020,86844,89952,0,0,87,0.0791,"Alabama",6933,86757,0.0799128600574017082195096649261731041876
455477,30433,1,"National Charter","SA","OCC","SOUTHFIRST BANK","AL",705329,5329,9638,88851,89329,0,0,0,0.1082,"Alabama",9638,88851,0.1084737369303665687499296575165164151219
3282012,57569,1,"State-Chartered","NM","FDIC","PEOPLESTRUST BANK","AL",0,0,9325,87891,88078,490,0,0,0.1024,"Alabama",8835,87401,0.1010857999336392032127778858365464926031
586335,9057,1,"State-Chartered","NM","FDIC","BANK OF MOUNDVILLE","AL",0,17119,8706,87983,86542,0,0,82,0.0995,"Alabama",8624,87901,0.0981103741709423100988612188712301339006
437138,24307,1,"State-Chartered","NM","FDIC","FIRST BANK OF THE SOUTH","AL",0,0,7695,83443,83612,0,0,530,0.0926,"Alabama",7165,82913,0.0864158817073317815059158394944098030466
812379,30166,1,"State-Chartered","NM","FDIC","FIRST COMMUNITY BANK OF CULLMAN","AL",0,12559,8364,75889,81869,0,0,0,0.1102,"Alabama",8364,75889,0.1102136014442145765525965554955263608692
139834,22523,1,"State-Chartered","NM","FDIC","CITIZENS STATE BANK","AL",0,15102,10285,81323,81689,0,0,18,0.1287,"Alabama",10267,81305,0.1262775967037697558575733349732488776828
478430,15695,1,"State-Chartered","NM","FDIC","FIRST BANK OF LINDEN","AL",0,0,10888,79725,79072,0,0,0,0.1277,"Alabama",10888,79725,0.1365694575101912825337096268422703041706
305433,1746,1,"State-Chartered","NM","FDIC","ESCAMBIA COUNTY BANK","AL",0,16371,11595,79255,78451,0,0,0,0.144,"Alabama",11595,79255,0.1462999179862469244842596681597375559902
291732,1745,1,"State-Chartered","NM","FDIC","FARMERS & MERCHANTS BANK","AL",0,17234,16671,77995,77535,0,0,252,0.2035,"Alabama",16419,77743,0.2111958632931582264641189560474898061562
291330,1744,1,"State-Chartered","NM","FDIC","FIRST BANK","AL",0,16838,8324,71592,74588,0,0,0,0.103,"Alabama",8324,71592,0.1162699742988043356799642418147279025589
411231,16386,1,"State-Chartered","NM","FDIC","BRANTLEY BANK & TRUST COMPANY","AL",0,14591,10122,72408,74229,0,0,144,0.1336,"Alabama",9978,72264,0.1380770508136831617402856193955496512786
2621285,34460,1,"State-Chartered","NM","FDIC","COVENANT BANK","AL",0,16720,4444,74140,72964,0,0,0,0.0605,"Alabama",4444,74140,0.0599406528189910979228486646884272997033
472531,16185,1,"State-Chartered","NM","FDIC","SAMSON BANKING COMPANY, THE","AL",0,0,9350,70740,72762,0,0,12,0.1335,"Alabama",9338,70728,0.1320269200316706254948535233570863024545
3254297,57640,1,"State-Chartered","NM","FDIC","BANK OF WALKER COUNTY","AL",0,0,10970,71669,70840,0,0,171,0.1543,"Alabama",10799,71498,0.1510391899074099974824470614562645108954
895475,33109,1,"National Charter","SA","OCC","SOUTHBANK, FEDERAL SAVINGS BANK","AL",708854,8854,12811,85016,65358,0,0,0,0.1548,"Alabama",12811,85016,0.1506892820175025877481885762679966124024
376237,855,1,"State-Chartered","NM","FDIC","MERCHANTS & FARMERS BANK OF GREENE COUNTY","AL",0,17337,6201,62749,63962,0,0,41,0.0915,"Alabama",6160,62708,0.0982330803087325381131594054985009887096
560438,49,1,"State-Chartered","NM","FDIC","BANK OF EVERGREEN","AL",0,16664,6377,61567,63303,0,0,0,0.1014,"Alabama",6377,61567,0.1035782156025143339776178797082852827001
42037,70,1,"State-Chartered","NM","FDIC","PEOPLES EXCHANGE BANK OF MONROE COUNTY","AL",0,0,9064,63170,60233,0,0,424,0.1445,"Alabama",8640,62746,0.1376980205909540050361776049469288878972
578237,22229,1,"National Charter","N","OCC","COMMONWEALTH NATIONAL BANK","AL",16553,0,4266,57347,56501,0,0,180,0.0692,"Alabama",4086,57167,0.0714748018961988559833470358773418230797
1474309,32968,1,"State-Chartered","NM","FDIC","COMMUNITY BANK & TRUST-ALABAMA","AL",0,0,2950,51534,54838,0,0,0,0.0652,"Alabama",2950,51534,0.0572437614002406178445298249699227694338
351131,5605,1,"State-Chartered","NM","FDIC","BANK OF BREWTON","AL",0,0,9504,50074,50056,0,0,208,0.189,"Alabama",9296,49866,0.1864196045401676493001243332130108691293
558574,31592,1,"National Charter","SA","OCC","SECURITY FEDERAL SAVINGS BANK","AL",707228,7228,4146,39366,39600,0,0,31,0.1146,"Alabama",4115,39335,0.1046142112622346510741070293631625778569
496434,2794,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF DOZIER, THE","AL",9681,14685,5146,37523,37293,0,0,143,0.1317,"Alabama",5003,37380,0.1338416265382557517388978063135366506153
2877484,35314,1,"State-Chartered","NM","FDIC","ALAMERICA BANK","AL",0,17005,5606,36062,35476,0,0,61,0.1521,"Alabama",5545,36001,0.1540234993472403544345990389155856781756
177135,22549,1,"State-Chartered","SM","FED","FIRST PROGRESSIVE BANK","AL",0,0,8114,31186,31324,0,0,0,0.2602,"Alabama",8114,31186,0.2601808503815814788687231450009619701148
290838,15270,1,"State-Chartered","NM","FDIC","CITIZENS BANK OF VALLEY HEAD, THE","AL",0,0,3025,26030,26038,0,0,0,0.1162,"Alabama",3025,26030,0.1162120630042258932001536688436419515943
561239,16607,1,"State-Chartered","NM","FDIC","BANK OF PINE HILL","AL",0,16022,3135,24626,24251,0,0,111,0.1282,"Alabama",3024,24515,0.1233530491535794411584744034264735875994
470434,9614,1,"State-Chartered","NM","FDIC","PEOPLES BANK OF RED LEVEL, THE","AL",0,0,1874,16780,16591,0,0,0,0.1125,"Alabama",1874,16780,0.1116805721096543504171632896305125148987
114260,16130,1,"National Charter","N","OCC","FIRST NATIONAL BANK ALASKA","AK",12072,0,488565,3691276,3569426,3254,0,6813,0.1318,"Alaska",478498,3681209,0.1299839264763288365316937995098892782235
1718188,33216,1,"State-Chartered","NM","FDIC","NORTHRIM BANK","AK",0,0,178904,1550065,1492475,3097,22334,9881,0.102,"Alaska",143592,1514753,0.0947956531526922211079958250619077829851
451068,14885,1,"State-Chartered","NM","FDIC","FIRST BANK","AK",0,0,46971,516121,510184,4175,0,0,0.0897,"Alaska",42796,511946,0.0835947541342250940528883905724431873674
542667,19525,1,"State-Chartered","SB","FDIC","MT. MCKINLEY BANK","AK",0,0,77398,394258,398052,0,0,637,0.1957,"Alaska",76761,393621,0.1950124612253919379301409223593253408736
571265,26530,1,"State-Chartered","NM","FDIC","DENALI STATE BANK","AK",0,0,27924,274807,270150,0,0,0,0.0954,"Alaska",27924,274807,0.1016131321254553195515398079379346232083
3138146,57512,0,"State-Chartered","SM","FED","WESTERN ALLIANCE BANK","AZ",0,0,1522245,13861456,14155275,17198,289638,86452,0.0895,"Arizona",1128957,13468168,0.0838240954523287799795785143161267367618
2358769,57197,1,"National Charter","N","OCC","BNC NATIONAL BANK","AZ",24224,0,87862,880302,903318,0,0,1736,0.0945,"Arizona",86126,878566,0.0980301992109869947163901175324335337357
3187612,57620,0,"State-Chartered","NM","FDIC","ARIZONA BANK & TRUST","AZ",0,0,59052,605197,591066,869,7122,5435,0.085,"Arizona",45626,591771,0.0771007703993605634612037426639696774597
1897270,33508,1,"State-Chartered","NM","FDIC","MOHAVE STATE BANK","AZ",0,0,37542,322732,325311,309,0,3198,0.1161,"Arizona",34035,319225,0.106617589474508575456182943065236118725
2626794,34573,1,"State-Chartered","NM","FDIC","FOOTHILLS BANK, THE","AZ",0,0,38621,296674,302937,211,4723,0,0.114,"Arizona",33687,291740,0.1154692534448481524645232055940220744499
1893049,33497,1,"National Charter","SA","OCC","NORDSTROM FSB","AZ",715846,15846,39040,311528,264771,0,0,0,0.1253,"Arizona",39040,311528,0.1253177884491923679412444467270999717521
3048487,57298,1,"State-Chartered","NM","FDIC","1ST BANK YUMA","AZ",0,0,24936,258480,262105,516,2855,705,0.0861,"Arizona",20860,254404,0.0819955661074511407053348217795317683684
