"IDRSSD","CERT","CB","CHARTER_TYPE","SDI_BK_CLASS_DESC","SDI_REGAGNT_DESC","INST_NAME","INST_STATE","OCC_ID","OTS_ID","TOTAL_BNK_EQUITY_CAPITAL","TOTAL_ASSETS","TOTAL_ASSETS_RCON2170","OTHR_INTANGIBLES","GOODWILL","NET_DEF_TAX_ASST","TIER1LEVERAGE","STATE_DESC","ADJ_TOTAL_BNK_EQ_CAP","ADJ_TOTAL_ASSETS","SIMPLE_LEVERAGE_RATIO"
1017957,10976,1,"National Charter","N","OCC","CENTER NATIONAL BANK","MN",20448,0,20785,195348,199895,0,0,0,0.1068,"Minnesota",20785,195348,0.1063998607613080246534389909290087433708
691556,19188,1,"State-Chartered","NM","FDIC","FIRST MINNETONKA CITY BANK","MN",0,0,22005,196808,199581,0,0,0,0.1083,"Minnesota",22005,196808,0.1118094792894597780578025283525059956912
786555,1100,1,"State-Chartered","SM","FED","PEOPLES STATE BANK OF PLAINVIEW","MN",0,0,18857,200658,199301,0,0,0,0.0915,"Minnesota",18857,200658,0.0939758195536684308624624983803287185161
1481745,33204,1,"State-Chartered","NM","FDIC","PREMIER BANK MINNESOTA","MN",0,0,18585,189685,196550,0,0,0,0.0985,"Minnesota",18585,189685,0.0979782270606531881804043545878693623639
924357,5198,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF MILACA, THE","MN",9050,0,22241,194262,193695,0,110,0,0.1138,"Minnesota",22131,194152,0.1139880093947010589641105937615888582142
755458,5229,1,"State-Chartered","NM","FDIC","FORESIGHT BANK","MN",0,0,17572,185386,190909,0,0,0,0.0932,"Minnesota",17572,185386,0.0947860140463681184123936003797482010508
3184228,57603,1,"National Charter","N","OCC","FALCON NATIONAL BANK","MN",24373,0,17436,186695,189845,244,0,0,0.0935,"Minnesota",17192,186451,0.0922065314747574429742935141136277091568
763556,12186,1,"State-Chartered","SM","FED","PLAZA PARK STATE BANK","MN",0,0,18923,188506,189369,0,0,0,0.0998,"Minnesota",18923,188506,0.1003840726555122913859505798223929211802
1387203,26891,1,"National Charter","SA","OCC","LIBERTY SAVINGS BANK, FEDERAL SAVINGS BANK","MN",711882,11882,21239,190731,189282,6763,0,0,0.1045,"Minnesota",14476,183968,0.0786875978431031483736301965559227691772
152253,1913,1,"State-Chartered","NM","FDIC","CASTLE ROCK BANK","MN",0,0,25371,185861,186951,0,0,0,0.1362,"Minnesota",25371,185861,0.1365052377852265940676096652874997982363
768252,9757,1,"State-Chartered","NM","FDIC","NICOLLET COUNTY BANK OF SAINT PETER, THE","MN",0,0,12658,170547,185632,0,0,0,0.0753,"Minnesota",12658,170547,0.0742200097333872774074008924226166394015
751254,8536,1,"State-Chartered","NM","FDIC","PROGROWTH BANK","MN",0,0,10957,128299,183941,0,0,337,0.0856,"Minnesota",10620,127962,0.0829933886622591081727387818258545505697
46053,1610,1,"State-Chartered","NM","FDIC","STATE BANK OF FARIBAULT, THE","MN",0,0,20764,182150,183189,0,0,0,0.1102,"Minnesota",20764,182150,0.1139939610211364260225089212187757342849
728957,10165,1,"State-Chartered","NM","FDIC","FARMERS AND MERCHANTS STATE BANK OF PIERZ","MN",0,0,19898,179521,181419,0,0,0,0.1112,"Minnesota",19898,179521,0.1108394004044095119790999381687936230302
484776,32082,1,"National Charter","SA","OCC","VIKING SAVINGS BANK","MN",707830,7830,28636,177588,176839,254,9881,0,0.1109,"Minnesota",18501,167453,0.1104847330295665052283327261977987853308
49054,10212,1,"State-Chartered","NM","FDIC","COMMERCE BANK","MN",0,0,25127,182160,175930,0,130,0,0.1382,"Minnesota",24997,182030,0.1373235181014118551887051584903587320771
3538009,58511,1,"State-Chartered","NM","FDIC","PLATINUM BANK","MN",0,0,18002,174858,169869,0,0,0,0.1043,"Minnesota",18002,174858,0.1029521097118804973178236054398426151506
222156,1609,1,"State-Chartered","NM","FDIC","FIRST STATE BANK OF WYOMING","MN",0,0,27332,167106,169769,0,0,0,0.158,"Minnesota",27332,167106,0.1635608535899369262623723863894773377377
2849285,35406,1,"State-Chartered","NM","FDIC","BANKVISTA","MN",0,0,15095,162142,168964,54,0,387,0.093,"Minnesota",14654,161701,0.0906240530361593311111248538970074396571
917854,5186,1,"National Charter","N","OCC","FIRST FARMERS & MERCHANTS NATIONAL BANK","MN",13544,0,23740,169383,168464,0,0,0,0.14,"Minnesota",23740,169383,0.1401557417214242279331455931232768341569
782351,5218,1,"National Charter","N","OCC","FIRST NATIONAL BANK OF NORTHFIELD, THE","MN",2073,0,15440,162868,166642,0,0,0,0.095,"Minnesota",15440,162868,0.0948006974973598251344647198958665913501
761459,13652,1,"State-Chartered","NM","FDIC","PINE COUNTRY BANK","MN",0,0,15087,166023,164448,0,390,262,0.0892,"Minnesota",14435,165371,0.0872885814320527782984924805437470898767
225157,8867,1,"State-Chartered","NM","FDIC","ULTIMA BANK MINNESOTA","MN",0,0,14503,165137,163084,81,0,0,0.0876,"Minnesota",14422,165056,0.0873764055835595191934858472276075998449
