"State","Value"
"AL",1
"AK",-4
"AZ",-1
"AR",17
"CA",2
"CO",-2
"CT",4
"DE",-14
"PR",3
"GA",-22
"HI",5
"ID",1
"IL",-23
"IN",-8
"IA",-6
"KS",10
"KY",2
"LA",12
"ME",-3
"MD",-1
"MA",23
"MI",1
"MN",-29
"MS",6
"MO",27
"MT",-7
"NE",-7
"NV",20
"NH",8
"NJ",-8
"NM",-8
"NC",-14
"ND",-5
"OH",-7
"OK",-5
"OR",-5
"PA",19
"PR",1
"RI",0
"SC",-6
"SD",3
"TN",16
"TX",35
"UT",-18
"VT",2
"VA",8
"WA",2
"WV",-2
"WI",-21
"WY",-2
