"State","Value"
"AL",2
"AK",-3
"AZ",-1
"AR",16
"CA",10
"CO",-2
"CT",3
"DE",-12
"PR",3
"GA",-22
"HI",5
"ID",1
"IL",-25
"IN",-8
"IA",-8
"KS",8
"KY",1
"LA",12
"ME",-3
"MD",-1
"MA",24
"MI",-4
"MN",-31
"MS",5
"MO",28
"MT",-8
"NE",-8
"NV",21
"NH",8
"NJ",-7
"NM",-8
"NC",-12
"ND",-5
"OH",-7
"OK",-6
"OR",-5
"PA",20
"PR",2
"RI",0
"SC",-5
"SD",3
"TN",16
"TX",43
"UT",-22
"VT",2
"VA",2
"WA",3
"WV",-2
"WI",-23
"WY",-2
