"YEAR","REPDTE","STATE","N_SDI_BANK","SDI_TOTAL_ASSET"
2015,31-DEC-15 12.00.00.000000000 AM,"Minnesota",254,43405863
2014,31-DEC-14 12.00.00.000000000 AM,"Minnesota",262,42745341
2013,31-DEC-13 12.00.00.000000000 AM,"Minnesota",276,41168039
2015,31-DEC-15 12.00.00.000000000 AM,"Mississippi",68,67285005
2014,31-DEC-14 12.00.00.000000000 AM,"Mississippi",69,61362544
2013,31-DEC-13 12.00.00.000000000 AM,"Mississippi",69,46296055
2015,31-DEC-15 12.00.00.000000000 AM,"Missouri",263,112947743
2014,31-DEC-14 12.00.00.000000000 AM,"Missouri",263,104149456
2013,31-DEC-13 12.00.00.000000000 AM,"Missouri",264,98735477
2015,31-DEC-15 12.00.00.000000000 AM,"Montana",50,28953083
2014,31-DEC-14 12.00.00.000000000 AM,"Montana",55,27765761
2013,31-DEC-13 12.00.00.000000000 AM,"Montana",56,25147171
2015,31-DEC-15 12.00.00.000000000 AM,"Nebraska",163,39402629
2014,31-DEC-14 12.00.00.000000000 AM,"Nebraska",171,37053419
2013,31-DEC-13 12.00.00.000000000 AM,"Nebraska",175,35002457
2015,31-DEC-15 12.00.00.000000000 AM,"Nevada",12,9574394
2014,31-DEC-14 12.00.00.000000000 AM,"Nevada",13,14026189
2013,31-DEC-13 12.00.00.000000000 AM,"Nevada",14,16241718
2015,31-DEC-15 12.00.00.000000000 AM,"New Hampshire",17,7852266
2014,31-DEC-14 12.00.00.000000000 AM,"New Hampshire",16,7482847
2013,31-DEC-13 12.00.00.000000000 AM,"New Hampshire",17,8078872
2015,31-DEC-15 12.00.00.000000000 AM,"New Jersey",72,88054563
2014,31-DEC-14 12.00.00.000000000 AM,"New Jersey",73,81274953
2013,31-DEC-13 12.00.00.000000000 AM,"New Jersey",74,70443656
2015,31-DEC-15 12.00.00.000000000 AM,"New Mexico",32,9603538
2014,31-DEC-14 12.00.00.000000000 AM,"New Mexico",32,9014983
2013,31-DEC-13 12.00.00.000000000 AM,"New Mexico",35,8584428
2015,31-DEC-15 12.00.00.000000000 AM,"New York",93,853409777
2014,31-DEC-14 12.00.00.000000000 AM,"New York",97,781191084
2013,31-DEC-13 12.00.00.000000000 AM,"New York",99,740414984
2015,31-DEC-15 12.00.00.000000000 AM,"North Carolina",54,278297513
2014,31-DEC-14 12.00.00.000000000 AM,"North Carolina",56,243753532
2013,31-DEC-13 12.00.00.000000000 AM,"North Carolina",64,237413715
2015,31-DEC-15 12.00.00.000000000 AM,"North Dakota",69,20118686
2014,31-DEC-14 12.00.00.000000000 AM,"North Dakota",74,19132907
2013,31-DEC-13 12.00.00.000000000 AM,"North Dakota",75,17148169
2015,31-DEC-15 12.00.00.000000000 AM,"Ohio",122,173140716
2014,31-DEC-14 12.00.00.000000000 AM,"Ohio",123,166257300
2013,31-DEC-13 12.00.00.000000000 AM,"Ohio",132,158131774
2015,31-DEC-15 12.00.00.000000000 AM,"Oklahoma",155,44605068
2014,31-DEC-14 12.00.00.000000000 AM,"Oklahoma",161,42215990
2013,31-DEC-13 12.00.00.000000000 AM,"Oklahoma",164,40388544
2015,31-DEC-15 12.00.00.000000000 AM,"Oregon",21,31606249
2014,31-DEC-14 12.00.00.000000000 AM,"Oregon",24,30684971
2013,31-DEC-13 12.00.00.000000000 AM,"Oregon",24,18500509
2015,31-DEC-15 12.00.00.000000000 AM,"Pennsylvania",139,146805223
2014,31-DEC-14 12.00.00.000000000 AM,"Pennsylvania",144,155696661
2013,31-DEC-13 12.00.00.000000000 AM,"Pennsylvania",147,146803142
2015,31-DEC-15 12.00.00.000000000 AM,"Puerto Rico",5,57323317
2014,31-DEC-14 12.00.00.000000000 AM,"Puerto Rico",6,63471371
2013,31-DEC-13 12.00.00.000000000 AM,"Puerto Rico",6,67426406
2015,31-DEC-15 12.00.00.000000000 AM,"Rhode Island",6,8868655
2014,31-DEC-14 12.00.00.000000000 AM,"Rhode Island",6,8307762
2013,31-DEC-13 12.00.00.000000000 AM,"Rhode Island",6,7669982
2015,31-DEC-15 12.00.00.000000000 AM,"South Carolina",46,24778849
2014,31-DEC-14 12.00.00.000000000 AM,"South Carolina",49,32627067
2013,31-DEC-13 12.00.00.000000000 AM,"South Carolina",51,31803213
2015,31-DEC-15 12.00.00.000000000 AM,"South Dakota",55,24519381
2014,31-DEC-14 12.00.00.000000000 AM,"South Dakota",56,22709186
2013,31-DEC-13 12.00.00.000000000 AM,"South Dakota",57,21280482
2015,31-DEC-15 12.00.00.000000000 AM,"Tennessee",149,57824567
2014,31-DEC-14 12.00.00.000000000 AM,"Tennessee",153,54052375
2013,31-DEC-13 12.00.00.000000000 AM,"Tennessee",154,51338740
2015,31-DEC-15 12.00.00.000000000 AM,"Texas",279,260464859
2014,31-DEC-14 12.00.00.000000000 AM,"Texas",296,246418343
2013,31-DEC-13 12.00.00.000000000 AM,"Texas",313,226814883
2015,31-DEC-15 12.00.00.000000000 AM,"Utah",42,273606406
2014,31-DEC-14 12.00.00.000000000 AM,"Utah",45,277422278
2013,31-DEC-13 12.00.00.000000000 AM,"Utah",46,251202435
2015,31-DEC-15 12.00.00.000000000 AM,"Vermont",7,4713522
2014,31-DEC-14 12.00.00.000000000 AM,"Vermont",7,4332951
2013,31-DEC-13 12.00.00.000000000 AM,"Vermont",7,4228831
2015,31-DEC-15 12.00.00.000000000 AM,"Virgin Islands of the U.S.",2,270948
2014,31-DEC-14 12.00.00.000000000 AM,"Virgin Islands of the U.S.",2,245423
2013,31-DEC-13 12.00.00.000000000 AM,"Virgin Islands of the U.S.",2,253322
2015,31-DEC-15 12.00.00.000000000 AM,"Virginia",69,66710482
2014,31-DEC-14 12.00.00.000000000 AM,"Virginia",71,62717384
2013,31-DEC-13 12.00.00.000000000 AM,"Virginia",78,60288491
2015,31-DEC-15 12.00.00.000000000 AM,"Washington",47,50590380
2014,31-DEC-14 12.00.00.000000000 AM,"Washington",51,46055161
2013,31-DEC-13 12.00.00.000000000 AM,"Washington",54,52630508
2015,31-DEC-15 12.00.00.000000000 AM,"West Virginia",49,26743866
2014,31-DEC-14 12.00.00.000000000 AM,"West Virginia",49,24172864
2013,31-DEC-13 12.00.00.000000000 AM,"West Virginia",50,23269564
2015,31-DEC-15 12.00.00.000000000 AM,"Wisconsin",196,54449131
2014,31-DEC-14 12.00.00.000000000 AM,"Wisconsin",202,51989830
2013,31-DEC-13 12.00.00.000000000 AM,"Wisconsin",208,50406710
2015,31-DEC-15 12.00.00.000000000 AM,"Wyoming",26,5548967
2014,31-DEC-14 12.00.00.000000000 AM,"Wyoming",26,5380690
2013,31-DEC-13 12.00.00.000000000 AM,"Wyoming",27,5023747
